计算机系统是由哪两大部分组成的？,硬件系统和软件系统。
计算机系统层次结构通常划分为哪三层？,硬件层、系统层和应用层。
计算机系统的硬件层通常又被称为什么？,裸机。
硬件层中，作为计算机内核并由逻辑电路组成的是哪一级？,硬联逻辑级。
硬联逻辑级主要由门电路和什么组成？,触发器。
微程序级的机器语言是指什么？,微指令集。
传统机器级的机器语言是指该机的什么？,指令集。
系统层中，负责管理计算机系统中软硬件资源的级别是？,操作系统级。
语言处理程序级的主要作用是什么？,将高级语言或汇编语言编写的程序翻译成机器语言程序。
针对不同用户设计、面向实际解决问题的软件层是哪一层？,应用层。
现代计算机体系结构通用的基本原理名称是什么？,冯·诺依曼体系结构（存储程序原理）。
冯·诺依曼体系结构中硬件由哪五个基本部分组成？,运算器、控制器、存储器、输入设备和输出设备。
在冯·诺依曼体系结构图中，实线箭头通常代表什么？,数据或指令流。
在冯·诺依曼体系结构图中，虚线箭头代表什么？,控制信号。
运算器和控制器被集成在一起统称为什么？,中央处理单元（CPU）。
硬件系统的核心部件，用于数据加工处理的是什么？,中央处理单元（CPU）。
CPU 除了控制功能外，主要完成哪两类运算？,算术运算和逻辑运算。
存储器按位置和用途可以分为内部存储器和 _____。,外部存储器
内部存储器（内存）在速度和容量上有何特点？,速度高、容量小。
内部存储器通常用于临时存放程序、数据及什么结果？,中间结果。
哪种存储器容量大、速度慢，可以长期保存程序和数据？,外部存储器（或辅助存储器）。
计算机系统中的输入设备和输出设备合称为什么？,外部设备（简称外设）。
用于将原始数据及各种命令输入计算机的部件是？,输入设备。
用于输出计算机运行结果的部件是？,输出设备。
按照功能划分，软件主要分为哪两大类？,系统软件和应用软件。
系统软件的主要功能是什么？,实现计算机系统的管理、调度、监视和服务。
系统软件通常分为操作系统、语言处理程序、服务性程序、计算机网络软件和 _____。,数据库管理系统
数据库管理系统（DBMS）属于哪一类软件？,系统软件。
财务管理软件或项目管理软件属于哪一类软件？,应用软件。
固件（firmware）的基本定义是什么？,存储在能永久保存信息的器件中的程序，是具有软件功能的硬件。
固件通常存储在哪些器件中？,EPROM 或 EEPROM。
操作系统通过什么来按标准设备驱动程序实现特定机器的运转？,固件。
固件在执行速度上与软件相比表现如何？,执行速度快于软件。
固件在灵活性上与硬件相比表现如何？,灵活性优于硬件。
语言处理程序包括编译程序、解释程序和 _____。,汇编程序
编译程序属于计算机层次结构中的哪一层？,系统层（或语言处理程序级）。
冯·诺依曼结构中的“主机”由 CPU 和什么组成？,主存储器（内存）。
冯·诺依曼结构中，辅助存储器（外存）属于哪一基本部分？,外部设备（外设）。
计算机诞生的年份是哪一年？,1946年。
微指令系统属于计算机系统的哪一个主要层次？,硬件层。
服务性程序属于哪一类软件？,系统软件。
应用软件是由用户或谁为各自业务开发使用的？,第三方软件公司。
在计算机内部，数据或指令表现为什么形式？,二进制数。
硬件层中，最靠近内核、由门电路构成的级别是？,硬联逻辑级。
语言处理程序的作用是使程序能够在什么上面运行？,计算机（硬件）。
系统软件中的“DBMS”全称是什么？,数据库管理系统。
主存储器和辅助存储器的主要区别是什么？,主存储器速度快但容量小，辅助存储器容量大但速度慢。
计算机硬件的五个基本部分中，负责指挥各部件协调工作的是？,控制器。
计算机硬件的五个基本部分中，负责执行算术和逻辑运算的是？,运算器。
固件的性能指标介于硬件与 _____ 之间。,软件
哪一层级直接面向实际用户并提供各种应用软件？,应用层。